col1,col2,col3,col4,col5,col6,col7,col8,sort_date
2025-0261,02-02-2025 9:16 PM,02-02-2025 9:13 PM 02-02-2025 10:47 PM,Harassment / Dating Violence,Alumni Hall,Washington Square,A student reported Harassment by an intimate partner.,Closed/ Referred to NYPD,2025-02-02
2025-0263,02-03-2025 9:30 AM,02-02-2025 8:25 PM 02-03-2025 9:17 AM,Harassment,Palladium Hall,Washington Square,A staff member reported Harassment.,Closed,2025-02-03
IRVS 2025- 003,02-03-2025 10:57 am,01-14-2025 4:00 pm 01-14-2025 6:00 pm,Harassment,Wiseman Hall (exterior),Kips Bay,NYPD reported a physical fight.,Closed/ Referred to NYPD,2025-02-03
00296-2025,02-04-2025 9:43 PM,10-31-2024,Rape,Lipton Hall,Washington Square,A student reported sexual violence.,Closed/ Referred to Title IX,2025-02-04
00291-2025,02-04-2025 1:50 PM,02-04-2025 12:25 PM,Harassment,Palladium Hall,Washington Square,A student reported Harassment.,Closed/ Referred to Office of Student Conduct & Community Standards,2025-02-04
2025-0291,02-04-2025 11:39 PM,02-04-2025 11:10 PM,Harassment,Cantor Film Center - Exterior,Washington Square,A student reported Harassment.,Closed,2025-02-04
2025-0298,02-05-2025 3:58 PM,02-04-2025 9:30 PM 02-05-2025 1:30 AM,Larceny,Palladium Hall,Washington Square,A student reported missing property.,Closed/ Referred to NYPD,2025-02-05
2025-0300,02-05-2025 7:31 PM,02-05-2025 1:00 PM 02-05-2025 7:00 PM,Larceny,Weinstein Hall,Washington Square,A student reported missing property.,Open,2025-02-05
2025-0302,02-05-2025 7:07 PM,02-05-2025 9:07 PM,Harassment,404 Lafayette Street,Washington Square,A student reported Harassment.,Open,2025-02-05
00309-2025,02-05-2025 6:25 PM,02-02-2025,Drug Law Violation,University Hall,Washington Square,A student reported illegal drug possession.,Closed/ Referred to Office of Student Conduct & Community Standards,2025-02-05
00302-2025,02-05-2025 10:42 AM,10-26-2024 12-13-2024,Stalking,Palladium Residence Hall,Washington Square,A student reported Stalking.,Closed/ Referred to Title IX,2025-02-05
2025-0293,02-05-2025 9:01 AM,02-04-2025 10:00 PM 02-05-2025 8:52 AM,Larceny,Weinstein Hall,Washington Square,A staff member reported missing property.,Closed,2025-02-05
2025-0303,02-05-2025 8:15PM,02-04-2025 8:00 PM 02-05-2025,Larceny,Silver Main,Washington Square,A student reported missing property.,Closed,2025-02-05
2025-0319,02-06-2025 6:07 PM,02-06-2025 6:05 PM 02-06-2025 6:13 PM,Criminal Trespass,Bobst Library,Washington Square,A Campus Safety Officer reported Criminal Trespass.,Open,2025-02-06
00371-2025,2/6/2025 5:00 PM,2/6/2025 8:00 AM - 2/6/2025 9:00 AM,Sexual Abuse,Paulson Center,Washington Square,A student reported Sexual Abuse.,Closed/ Referred to Title IX,2025-02-06
00317-2025,02-06-2025 11:44 AM,02-06-2025 1:40 AM,Harassment,Lipton Hall,Washington Square,A student reported Harassment.,Closed/ Referred to Office of Student Conduct & Community Standards,2025-02-06
2025-0322,02-07-2025 2:34 PM,02-06-2025 11:00 PM - 02-07-2025 2:15 PM,Larceny,Third North Hall,Washington Square,A student reported a lost item.,Closed,2025-02-07
2025-0330,02-08-2025 8:16 PM,02-08-2025 7:30 p.m.,Larceny,Palladium Hall,Washington Square,A student reported a theft.,Closed,2025-02-08
00342-2025,2/9/2025 12:22 AM,2/8/2025 10:15 PM,Liquor Law Violation (x10),Paulson Center,Washington Square,A resident assistant reported a liquor law violation.,Closed/ Referred to Office of Student Conduct & Community Standards,2025-02-09
2025-0332,2/9/2025 1:50 AM,2/8/2025 10:30 PM - 2/9/2025 1:00 AM,Larceny,Founders Hall,Washington Square,A student reported a Larceny.,Closed,2025-02-09
2025-0333,2/9/2025 3:46 AM,2/9/2025 3:45 AM,Aggravated Assault,Founders Hall (exterior),Washington Square,A student reported an Aggravated Assault.,Closed,2025-02-09
00366-2025,2/9/2025 19:15,02-08-2025,Larceny,Clark Street Hall,Brooklyn Commons,A student reported a larceny.,Closed/ Referred to NYPD,2025-02-09
2025-0351,2/10/2025 9:26 PM,2/10/2025 9:10 PM,Criminal Mischief,Meyer Hall Place (exterior),Washington Square,A Campus Safety Officer reported vandalism.,Closed/ Referred to NYPD,2025-02-10
2025-0351,2/10/2025 9:26 PM,2/10/2025 8:30 PM,Criminal Mischief (x2),Gould Plaza,Washington Square,A Campus Safety Officer reported vandalism.,Closed/ Referred to NYPD,2025-02-10
2025-0351,2/10/2025 9:26 PM,2/10/2025 8:30 PM,Criminal Mischief,Warren Weaver Hall,Washington Square,A Campus Safety Officer reported vandalism.,Closed/ Referred to NYPD,2025-02-10
2025-0355,2/11/2025 9:19 am,1/29/2025 12:30 pm,Harassment,Bobst Library (exterior),Washington Square,A student reported harassment.,Open,2025-02-11
2025-0360,2/11/2025 12:38 pm,1/30/2025 6:00 pm - 2/6/2025 2:00 pm,Criminal Mischief,370 Jay Street,Brooklyn Commons,A staff member reported vandalism.,Open,2025-02-11
2025-0362,2/11/2025 2:30 pm,2/11/2025 2:05 pm,Larceny,Silver Center,Washington Square,A student reported a theft.,Open,2025-02-11
00377-2025,2/11/2025 1:16 pm,2/11/2025 12:06 pm,Liquor Law Violation (x2),Brittany Hall,Washington Square,A staff member confiscated alcohol.,Closed/ Referred to Office of Student Conduct & Community Standards,2025-02-11
00379-2025,2/11/2025 2:47 pm,2/9/2025 6:40 pm,Harassment,Gramercy Green,Washington Square,A student reported Harassment.,Closed/ Referred to Office of Student Conduct & Community Standards,2025-02-11
2025-0365,2/11/2025 5:43 pm,2/6/2025 11:00 am - 2/6/2025 at 2:00 pm,Larceny,Kimball Hall,Washington Square,An employee reported a larceny.,Closed,2025-02-11
2025-0356,2/11/2025 9:32 pm,2/4/2025 12:22 pm - 2/4/2025 12:31 pm,Larceny,Kaufman Management Center,Washington Square,A student reported a larceny.,Closed,2025-02-11
2025-0371,2/12/2025 10:33 am,2/5/2025 8:00 pm - 2/12/2025 10:32 am,Stalking,Lipton Hall (exterior),Washington Square,A student reported stalking.,Closed,2025-02-12
2025-0372,2/12/2025 10:56 am,2/12/2025 10:49 pm,Harassment (x2),Fairchild Hall,Washington Square,A student and a Campus Safety Officer reported harassment.,Open,2025-02-12
2025-0380,2/12/2025 7:22 pm,2/11/2025 5:30 pm,Public Lewdness,Washington Square North at Waverly Place,Washington Square,A faculty member reported public lewdness.,Closed,2025-02-12
00394-2025,2/12/2025 7:00 pm,2/12/2025 6:00 pm,Larceny,Brittany Hall,Washington Square,A student reported a Larceny,Closed/ Referred to Office of Student Conduct & Community Standards,2025-02-12
2025-0377,2/12/2025 6:29 pm,2/12/2025 6:15 pm,Larceny,Paulson Center,Washington Square,A student reported a larceny.,Open,2025-02-12
2025-0384,02-13-2025 10:05 am,02-13-2025 8:40 am - 02-13-2025 10:05 am,Larceny,Paulson Center,Washington Square,A student reported a larceny.,Open,2025-02-13
2025-0398,02-13-2025 10:56 PM,02-13-2025 10:56 PM,Criminal Mischief,561 LaGuardia Place - Exterior,Washington Square,A Campus Safety Officer reported Criminal Mischief.,Closed/ Referred to NYPD,2025-02-13
2025-0388,02-13-2025 2:05 pm,02-13-2025 2:00 pm,Harassment,Southwest corner of Waverly Place and University Place,Washington Square,A student reported Harassment.,Open,2025-02-13
2025-0385,02-13-2025 11:02 am,02-12-2025 9:11 am - 02-12-2025 12:11 pm,Harassment,Schwartz Hall,Kips Bay,A staff member reported harassment.,Open,2025-02-13
2025-0391,02-13-2025 2:24 pm,02-13-2025 1:45 pm,Harassment,Washington Square North at 5th Avenue,Washington Square,A staff member reported Harassment.,Open,2025-02-13
2025-0389,02-13-2025 3:30 pm,02-13-2025 1:45 pm,Harassment,Washington Square North near 5th Avenue,Washington Square,A student reported Harassment.,Open,2025-02-13
2025-0401,02-14-2025 4:40 AM,02-13-2025 4:40 AM,Harassment,Palladium Hall,Washington Square,A student reported Harassment.,Closed/ Referred to NYPD,2025-02-14
2025-0403,02-14-2025 7:21 AM,02-14-2025 7:21 AM,Criminal Mischief,561 LaGuardia Place - Exterior,Washington Square,A Campus Safety Officer reported Criminal Mischief.,Closed/ Referred to NYPD,2025-02-14
00411-2025,02-14-2025 12:43 AM,02-13-2025 11:46 PM,Liquor Law Violation (x2),Weinstein Residence Hall,Washington Square,An RA reported illegal possession of alcohol.,Closed/ Referred to Office of Student Conduct & Community Standards,2025-02-14
2025-0406,2/14/2025 12:05 pm,2/13/2025 11:00 pm -2/14/2025 12:02 PM,Larceny,Lipton Hall (exterior),Washington Square,A student reported a stolen bike.,Closed,2025-02-14
2025-0410,2/14/2025 4:05 pm,2/3/2025 10:15 am - 2/11/2025,Dating Violence / Stalking,80 Lafayette,Washington Square,A student reported dating violence and stalking.,Open,2025-02-14
2025-0417,2/15/2025 11:25 am,2/13/2025 4:00 pm - 2/13/2025 5:00 PM,Larceny,Rogers Hall,Washington Square,A dining staff member reported a larceny.,Open,2025-02-15
2025-0420,2/15/2025 7:30 pm,2/15/2025 7:11 PM,Harassment,Washington Square Park,Washington Square,A student reported harassment.,Open,2025-02-15
2025-0429,2/16/2025 5:24 pm,2/16/2025 3:25 PM,Criminal Impersonation,Kimmel Center,Washington Square,A staff member reported a false phone call.,Open,2025-02-16
2025-0439,2/17/2025 1:43 pm,2/14/2025 2:35 PM,Harassment,18 Washington Place (exterior),Washington Square,A student member reported harassment.,Open,2025-02-17
2025-0443,2/17/2025 9:33 PM,1/1/2025- 2/17/2025 8:11 PM,Criminal Impersonation with the Intent to Defraud Another,Weinstein Residence Hall,Washington Square,A student reported Criminal Impersonation.,Closed,2025-02-17
2025-0444,2/17/2025 11:28 PM,2/17/2025 12:00:00 PM - 2/17/2025 11:00:00 PM,Larceny,Third North Residence Hall,Washington Square,A student reported a Larceny.,Closed/ Referred to NYPD,2025-02-17
2025-0451,2/18/2025 7:00 PM,2/18/2025 4:00:00 PM - 2/18/2025 6:30:00 PM,Larceny,404 Lafayette Street,Washington Square,A student reported a Larceny.,Closed,2025-02-18
2025-0446,2/18/2025 9:33 AM,2/18/2025 8:00:00 AM - 2/18/2025 9:20:00 AM,Larceny,Paulson Center,Washington Square,A student reported a Larceny.,Open,2025-02-18
2025-0449,2/18/2025 2:43 PM,2/18/2025 1:00:00 PM - 2/18/2025 1:10:00 PM,Matter of Record (reclassified from Larceny),Schwartz Hall,Kips Bay,A staff member reported a Larceny.,Closed/ Referred to NYPD,2025-02-18
2025-0458,2/19/2025 10:07 AM,2/19/2025 8:45:00 AM - 2/19/2025 9:26:00 AM,Harassment,Schwartz Hall,Kips Bay,A Campus Safety Officer reported Harassment.,Closed/ Referred to NYPD,2025-02-19
00496-2025,02-19-2025 10:45 PM,02-19-2025 7:20 PM - 02-19-2025 7:30 PM,Loitering,2nd Street Residence Hall,Washington Square,An RA reported Loitering.,Open,2025-02-19
00491-2025,02-19-2025 3:05 PM,02-19-2025 2:00 PM,Harassment,433 1st Avenue,Kips Bay,A student reported Harassment.,Open,2025-02-19
2025-0457,2/19/2025 9:54 AM,02-19-2025 -2/19/2025 9:20:00 AM,Criminal Trespass,Paulson Center,Washington Square,A Campus Safety Officer reported a Criminal Trespass.,Open,2025-02-19
2025-0460,02-19-2025 12:00 PM,02-19-2025 7:00 AM,Criminal Mischief,Weinstein Hall,Washington Square,A staff member reported Criminal Mischief.,Open,2025-02-19
2025-0463,02-19-2025 3:37 PM,02-19-2025 12:30 PM,Larceny,Washington Square East at Washington Place,Washington Square,A student reported missing property.,Closed,2025-02-19
00484-2025,2/19/2025 11:14 AM,5/5/2024 12:00:00 AM - 5/5/2024 2:00:00 AM,Rape,Hayden Hall Residence,Washington Square,An individual reported Rape.,Open,2025-02-19
00507-2025,02-20-2025 5:55 PM,02-18-2025 3:50 PM,Criminal Mischief,Third Avenue North Residence Hall,Washington Square,An RA reported Criminal Mischief.,Open,2025-02-20
00504-2025,02-20-2025 3:00 PM,02-18-2025 9:00 AM - 02-18-2025 9:20 AM,Criminal Trespass,Paulson Center,Washington Square,A Campus Safety Officer reported Criminal Trespass.,Closed,2025-02-20
2025-0473,02-20-2025 1:36 PM,01-22-2025 11:00 AM - 02-24-2025 2:00 PM,Sale of Controlled Substance,University Hall,Washington Square,A staff member reported the sale of controlled substance.,Open,2025-02-20
2025-0469,02-20-2025 11:26 AM,02-20-2025 11:31 AM - 02-20-2025 11:44 AM,Disorderly Conduct,Schwartz Hall,Kips Bay,A staff member reported Disorderly Conduct.,Closed/ Referred to NYPD,2025-02-20
2025-0483,02-21-2025 1:53 PM,02-19-2025 12:30 PM - 02-19-2025 1:45 PM,Larceny,1 Washington Place,Washington Square,A student reported missing property.,Open,2025-02-21
00517-2025,02-22-2025 1:49 AM,02-22-2025 12:51 AM - 02-22-2025 1:03 AM,Harassment,Lafayette Hall,Washington Square,A Campus Safety Officer reported Harassment.,Closed/ Referred to NYPD,2025-02-22
00523-2025,02-23-2025 12:15 AM,02-22-2025 11:00 PM,Liquor Law Violation (x15),Gramercy Green Residence Hall,Washington Square,An RA reported Liquor Law Violation.,Closed/ Referred to Office of Student Conduct & Community Standards,2025-02-23
2025-0510,02-24-2025 3:37 PM,02-24-2025 3:20 PM,Traffic Law Violation,Schwartz Hall - Exterior,Kips Bay,A patient reported a hit and run.,Closed/ Referred to NYPD,2025-02-24
2025-0506,02-24-2025 10:34 AM,02-24-2025 10:34 AM - 02-24-2025 10:50 AM,Disorderly Conduct,Schwartz Hall,Kips Bay,A staff member reported Disorderly Conduct.,Open,2025-02-24
2025-0508,02-24-2025 12:55 PM,02-24-2025 11:50 AM - 02-24-2025 12:40 PM,Larceny,Weinstein Hall,Washington Square,A student reported missing property.,Open,2025-02-24
00528-2025,02-24-2025 12:17 PM,02-23-2025 12:10 AM,Dating Violence / Sexual Abuse,Gramercy Green Residence Hall,Washington Square,A staff member reported Sexual Abuse and Dating Violence.,Closed/ Referred to Office of Student Conduct & Community Standards,2025-02-24
2025-0511,02-24-2025 4:30 PM,02-24-2025,Harassment,3 Washington Square Village,Washington Square,A student reported Harassment.,Closed/ Referred to NYPD,2025-02-24
2025-0513,02-24-2025 4:44 PM,02-24-2025 3:00 PM,Harassment,Lilian Vernon Center,Washington Square,A student reported Harassment.,Open,2025-02-24
2025-0507,02-24-2025 12:05 PM,02-24-2025 12:03 PM,Larceny,Vanderbilt Hall - Exterior,Washington Square,A staff member reported Larceny.,Closed/ Referred to NYPD,2025-02-24
00536-2025,02-24-2025 1:44 AM,02-23-2025 10:50 PM,Criminal Mischief,Weinstein Residence Hall,Washington Square,An RA reported defacement of property.,Open,2025-02-24
2025-0521,2/25/2025 2:49 PM,2/16/2025,Criminal Mischief,Paulson Center,Washington Square,A staff member reported Criminal Mischief.,Open,2025-02-25
2025-0523,2/25/2025 17:01,2/25/2025 4:30 PM - 2/25/2025,Larceny - Embezzlement,Washington Square Park,Washington Square,A student reported a Larceny/ Embezzlement. x2,Closed,2025-02-25
2025-0538,02-26-2025 2:40 PM,02-24-2025 - 02-26-2025 10:00 PM,Criminal Mischief,Zurich Hall,Washington Square,A staff member reported damage to property.,Closed/ Referred to NYPD,2025-02-26
2025-0535,02-26-2025 1:32 PM,02-25-2025 11:00 PM,Found Property (reclassified from Larceny),Cantor Film Center,Washington Square,A student reported missing property.,Closed,2025-02-26
2025-0532,02-26-2025 11:05 AM,02-13-2025 - 02-21-2025,Larceny,Paulson Center,Washington Square,A staff member reported missing property.,Open,2025-02-26
2025-0530,02-26-2025 8:00 AM,02-26-2025 7:36 PM,Criminal Mischief,Barney Building,Washington Square,A Campus Safety Officer reported graffiti.,Closed/ Referred to NYPD,2025-02-26
2025-0534,02-26-2025 11:30 AM,02-21-2025 2:22 PM - 02-21-2025 2:30 PM,Larceny,Paulson Center - Exterior,Washington Square,A Non-NYU party reported stolen property.,Open,2025-02-26
2025-0542,02-27-2025 9:01 AM,02-27-2025 9:01 AM - 02-27-2025 11:03 AM,Disorderly Conduct,Schwartz Hall,Kips Bay,A Campus Safety Officer reported Disorderly Conduct.,Closed/ Referred to NYPD,2025-02-27
2025-0565,02-28-2025 5:07 PM,02-28-2025 5:03 PM,Criminal Trespass,Fairchild Building,Washington Square,A Campus Safety Officer reported Criminal Trespass.,Closed,2025-02-28
2025-0559,02-28-2025 2:08 PM,02-28-2025 11:00 AM - 02-28-2025,Larceny,Silver Center,Washington Square,A student reported a Larceny.,Open,2025-02-28
2025-0561,02-28-2025 4:40 PM,02-28-2025 4:38 PM - 02-28-2025 5:00 PM,Criminal Mischief,Gould Plaza,Washington Square,A campus safety officer reported Criminal Mischief.,Closed/ Referred to NYPD,2025-02-28
2025-0578,03-01-2025 11:37 PM,03-01-2025 11:37 PM,Public Lewdness,University Hall,Washington Square,A student reported Public Lewdness.,Closed/ Referred to NYPD,2025-03-01
2025-0572,03-01-2025 5:40 AM,03-01-2025 3:00 AM - 03-01-2025 5:10 AM,Aggravated Assault,Weinstein Hall,Washington Square,A student reported an Aggravated Assault.,Closed/ Referred to NYPD,2025-03-01
2025-0593,03-03-2025 3:55 PM,03-03-2025 3:48 PM,Harassment,2 Metrotech Center - Exterior,Brooklyn Commons,A faculty member reported Harassment.,Open,2025-03-03
2025-0603,03-03-2025 11:41 PM,03-03-2025 9:00 PM - 03-03-2025 10:30 PM,Larceny,Kaufman Management Center,Washington Square,A student reported missing property.,Open,2025-03-03
00654-2025,03-03-2025 10:12 AM,03-03-2025,Larceny,Founders Hall,Washington Square,A student reported missing property.,Open,2025-03-03
2025-0611,03-03-2025 3:12 PM 03-,03-2025 12:00 PM - 03-03-2025 12:05 PM,Harassment,411 Lafayette Street,Washington Square,A staff member reported Harassment.,Closed/ Referre d to NYPD,2025-03-03
2025-0613,03-04-2025 10:08 AM,03-04-2025 10:00 AM,Loitering (27),Bobst Library,Washington Square,A staff member reported Loitering x27.,Open,2025-03-04
2025-0607,03-04-2025 10:40 AM,02-27-2025 5:00 PM - 03-04-2025 10:00 AM,Larceny,Genomics Center,Washington Square,A staff member reported missing property.,Open,2025-03-04
2025-0609,03-04-2025 11:00 AM,02-28-2025 8:00 PM - 03-03-2025 8:45 PM,Larceny,Kimmel Center,Washington Square,A student reported missing property.,Open,2025-03-04
2025-0610,03-04-2025 11:35 AM,03-02-2025 8:30 PM - 03-03-2025 5:00 PM,Larceny,Bobst Library,Washington Square,A student reported missing property.,Open,2025-03-04
2025-0606,03-04-2025 8:55 AM,03-04-2025 8:55 AM,Criminal Mischief,133 MacDougal Street,Washington Square,A Campus Safety Officer reported graffiti.,Closed/ Referre d to NYPD,2025-03-04
00689-2025,03/05/2025 3:30 PM,01/29/2025 12:00 PM - 03/03/2025 12:00 PM,"Stalking, Menacing, Harassment (x2)",Weinstein Hall,Washington Square,"A student reported stalking, menacing, and two incidents of harassment.",Closed/Referred to Title IX,2025-03-05
2025-0631,03/05/2025 5:24 PM,03/05/2025 1:30 PM - 03/05/2025 4:59 PM,Larceny,Paulson Center,Washington Square,A student reported a Larceny.,Open,2025-03-05
2025-0629,03/05/2025 4:00 PM,02/10/2025 4:00 PM,Larceny,Schwartz Hall,Kips Bay,A student reported a larceny.,Open,2025-03-05
2025-0630,03/05/2025 4:30 PM,03/05/2025 4:20 PM,Criminal Trespass,35 W 4th Street,Washington Square,A Campus Safety Officer reported a PNG individual entered the lobby but was denied further access to the building.,Open,2025-03-05
2025-0631,03/05/2025 5:24 PM,03/05/2025 5:03 PM,Criminal Trespass,Weinstein Hall,Washington Square,A Campus Safety Officer reported a criminal trespass.,Open,2025-03-05
00689-2025,03/05/2025 3:30 PM,01/29/2025 - 03/03/2025,"Stalking, Menacing, Harassment (x2)",Weinstein Hall,Washington Square,"A student reported stalking, menacing, and two incidents of harassment.",Closed/ Referred to Title IX,2025-03-05
2025-0630,03/05/2025 4:30 PM,03/05/2025 4:20 PM,Criminal Trespass,35 W 4th Street,Washington Square,A Campus Safety Officer reported a PNG individual entered the lobby but was denied further access to the building.,Open,2025-03-05
2025-0622,03/05/2025 11:46 AM,03/04/2025 5:00 PM - 03/05/2025 11:00 AM,Larceny,Third North,Washington Square,A student reported a larceny.,Open,2025-03-05
2025-0641,03/06/2025 1:32 PM,03/06/2025 7:28 AM,Harassment,East Building,Washington Square,A Campus Safety Officer reported Harassment.,Open,2025-03-06
2025-0637,03/06/2025 10:05 AM,03/06/2025 10:05 AM - 03/06/2025 10:30 AM,Disorderly Conduct,Schwartz Hall,Kips Bay,A staff member reported Disorderly Conduct.,Open,2025-03-06
2025-0642,03/06/2025 3:25 PM,03/05/2025 2:00 PM - 03/05/2025 3:28 PM,Larceny,Bobst Library,Washington Square,A student reported missing property.,Closed/ Referred to NYPD,2025-03-06
2025-0633,03/06/2025 2:18 AM,03/06/2025 2:15 AM,Criminal Mischief,726 Broadway (Exterior),Washington Square,A Campus Safety Officer reported vandalism.,Closed/Referred to NYPD,2025-03-06
2025-0646,03/06/2025 7:30 PM,03/06/2025 7:05 PM - 03/06/2025 7:11 PM,Disorderly Conduct,Skirball Center,Washington Square,A staff member reported Disorderly Conduct.,Open,2025-03-06
2025-0649,03/07/2025 2:45 AM,03/07/2025 1:00 AM - 03/07/2025 2:30 AM,"Aggravated Assault, Dating Violence, Stalking, Harassment",Founders Hall,Washington Square,"A student reported dating violence involving Aggravated Assault, Stalking, and Harassment.",Closed/ Referred to Title IX,2025-03-07
2025-0659,03/08/2025 2:40 AM,03/08/2025 2:36 AM - 03/08/2025 2:40 AM,Criminal Trespass/ Harassment,Broome Street Residence Hall,Washington Square,A campus safety officer reported a Criminal Trespass/ Harassment.,Closed/ Referred to NYPD,2025-03-08
2025-0667,03/08/2025 2:11 PM,03/08/2025 2:11 PM - 03/08/2025 3:01 PM,Criminal Trespass,725 Broadway,Washington Square,A campus safety officer reported a Criminal Trespass.,Closed/ Referred to NYPD,2025-03-08
2025-0668,03/08/2025 5:39 PM,03/08/2025 5:26 PM - 03/08/2025 12:00 AM,Criminal Trespass,404 Lafayette Street,Washington Square,A campus safety officer reported a Criminal Trespass.,Open,2025-03-08
2025-0671,03/08/2025 8:41 PM,03/08/2025 6:10 PM - 03/08/2025 7:50 PM,Larceny/ Embezzlement,Lipton Residence Hall - Exterior,Washington Square,A student reported Larceny/ Embezzlement.,Closed/ Referred to NYPD,2025-03-08
2025-0676,03/09/2025 10:37 AM,03/09/2025 10:28 AM - 03/09/2025 11:45 AM,Larceny,Vanderbilt Hall - Exterior,Washington Square,A campus safety officer reported a Larceny.,Closed/ Referred to NYPD,2025-03-09
2025-0677,03/09/2025 3:45 PM,03/08/2025 11:55 AM - 03/08/2025 4:45 PM,Larceny,404 Lafayette Street,Washington Square,A student reported a Larceny.,Open,2025-03-09
2025-0693,03/10/2025 7:30 PM,03/10/2025 5:23 PM - 03/10/2025 7:04 PM,Harassment,Broome Street Residence,Washington Square,A student reported Harassment.,Open,2025-03-10
2025-0689,03/10/2025 6:00 PM,03/10/2025 4:16 PM - 03/10/2025 5:30 PM,Larceny,404 Lafayette Street,Washington Square,A student reported a Larceny.,Open,2025-03-10
2025-0690,03/10/2025 7:33 PM,03/10/2025 5:30 PM - 03-10-2025,Harassment,Bobst Library,Washington Square,A student reported Harassment.,Open,2025-03-10
2025-0687,03/10/2025 5:08 PM,03-06-2025- 03-07-2025,Harassment,Palladium Residence Hall,Washington Square,A staff member reported Harassment.,Open,2025-03-10
2025-0688,03/10/2025 4:30 PM,03/10/2025 2:00 PM - 03/10/2025 3:00 PM,Larceny,Washington Place & Greene Street,Washington Square,A student reported missing property.,Open,2025-03-10
2025-0685,03/10/2025 3:54 PM,03/10/2025 1:30 PM - 03/10/2025 2:45 PM,Larceny,Palladium Residence Hall,Washington Square,A student reported a Larceny.,Open,2025-03-10
2025-0698,03/11/2025 10:29 AM,03/07/2025 2:00 PM - 03/07/2025 7:00 PM,Larceny,708 Broadway,Washington Square,A staff member reported a Larceny.,Open,2025-03-11
2025-0700,03/11/2025 11:39 AM,03/11/2025 11:21 AM - 03/11/2025 1:10 PM,Disorderly Conduct,Schwartz Hall,Kips Bay,A staff member reported Disorderly Conduct.,Open,2025-03-11
2025-0702,03/11/2025 3:24 PM,03/05/2025 12:00 AM - 03/05/2025 12:00 AM,Harassment,Founders Residence Hall,Washington Square,A student reported Harassment.,Open,2025-03-11
2025-0703,03/11/2025 4:03 PM,03/11/2025 3:20 PM - 03/11/2025 3:20 PM,Criminal Mischief,Silver Center,Washington Square,A campus safety officer reported Criminal Mischief.,Open,2025-03-11
2025-0706,03/11/2025 6:50 PM,03-11-2025 - 03/11/2025 6:20 PM,Larceny,Tisch Hall,Washington Square,A student reported a Larceny.,Open,2025-03-11
2025-0709,03/11/2025 10:20 PM,03/11/2025 7:00 PM - 03/11/2025 8:30 PM,Larceny,Lipton Residence Hall,Washington Square,A student reported a Larceny.,Open,2025-03-11
2025-0701,03/11/2025 11:41 AM,03/11/2025 11:30 AM - 03/11/2025 11:50 AM,Disorderly Conduct,383 Lafayette Street,Washington Square,A campus safety officer reported Disorderly Conduct.,Closed/ Referred to NYPD,2025-03-11
2025-0717,03/12/2025 4:52 PM,02/14/2025 6:21 PM - 02-14-2025,Harassment,Alumni Residence Hall,Washington Square,A staff member reported Harassment.,Closed,2025-03-12
2025-0720,03/12/2025 5:50 PM,03/11/2025 9:00 PM - 03/12/2025 12:00 AM,Larceny,Silver Center,Washington Square,A student reported a Larceny.,Closed/ Referred to NYPD,2025-03-12
2025-0721,03/12/2025 7:35 PM,03/12/2025 7:25 PM - 03/12/2025 7:50 PM,Criminal Trespass,Lipton Residence Hall,Washington Square,A campus safety officer reported a Criminal Trespass,Open,2025-03-12
2025-0722,03/12/2025 8:11 PM,03/12/2025 8:00 PM - 03/12/2025 8:05 PM,Larceny,Washington Square Park,Washington Square,A student reported missing property.,Closed/ Referred to NYPD,2025-03-12
2025-0725,03/13/2025 6:09 AM,03/13/2025 6:00 AM - 03-13-2025,Menacing/ Intimidation,Washington Square Park,Washington Square,A student reported Menacing/ Intimidation.,Open,2025-03-13
2025-0737,03/13/2025 8:44 PM,03/13/2025 6:15 PM - 03/13/2025 8:30 PM,Larceny,Rogers Hall,Brooklyn Commons,A student reported a Larceny.,Closed,2025-03-13
2025-0735,03/13/2025 3:16 PM,03/13/2025 3:16 PM - 03/13/2025 3:30 PM,Criminal Mischief,Carlyle Court - Exterior,Washington Square,A campus safety officer reported Criminal Mischief.,Open,2025-03-13
2025-0728,03/13/2025 8:11 AM,03-13-2025 Unknown - 03-13-2025,Criminal Trespass,Weinstein Residence Hall,Washington Square,A staff member reported a Criminal Trespass.,Open,2025-03-13
2025-0729,03/13/2025 11:43 AM,03/13/2025 9:26 AM - 03/13/2025 9:27 AM,Larceny,NYU Bookstore,Washington Square,A staff member reported a Larceny.,Closed/ Referred to NYPD,2025-03-13
2025-0749,03/14/2025 7:55 PM,03/14/2025 5:40 PM - 03-14-2025,Larceny/ Embezzlement,Washington Square Park,Washington Square,A student reported Larceny/ Embezzlement.,Closed,2025-03-14
2025-0744,03/14/2025 12:19 PM,03/13/2025 4:00 PM - 03-14-2025,Larceny,Hayden Residence Hal,Washington Square,A student reported a Larceny.,Open,2025-03-14
2025-0759,03/15/2025 3:33 PM,03/15/2025 9:30 AM - 03/15/2025 3:20 PM,Motor Vehicle Theft,725 Broadway - Exterior,Washington Square,A student reported an Electric Scooter Theft.,Closed,2025-03-15
2025-0765,03/17/2025 3:58 AM,03/17/2025 12:35 AM - 03/17/2025 3:40 AM,Larceny,Palladium Residence Hall,Washington Square,A student reported a Larceny.,Closed,2025-03-17
2025-0771,03/17/2025 3:40 PM,03/07/2025 1:20 PM - 03/07/2025 3:40 PM,Larceny,Schwartz Hall,Kips Bay,A student reported a Larceny.,Closed/ Referred to NYPD,2025-03-17
